"archive","folder","page","period","year","month","quarter","area","region","province","district","station","direction","transport","good","description","origin","quantity","unit"
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","horses","","",170,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","cattle","","",4495,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","calves","","",22,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","donkeys","","",3866,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","sheep","","",23683,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","lambs","","",83,""
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","kola","","",10909,"loads"
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","salt","","",1176,"loads"
"praad","adm56/1/79","","year",1901,"","","region","northern territories","","","","","","cloth","","",1390,"loads"
"praad","adm56/1/57","","month",1907,"1","","region","northern territories","","","","import to northern territories","","rods","brass|copper","european",100,""
"praad","adm56/1/57","","month",1907,"1","","region","northern territories","","","","import to northern territories","","cloth","","european",259,"pieces"
"praad","adm56/1/57","","month",1907,"1","","region","northern territories","","","","import to northern territories","","yarn","","european",200,""
"praad","adm56/1/57","","month",1907,"1","","region","northern territories","","","","import to northern territories","","basins","","european",36,""
"praad","adm56/1/57","","month",1907,"1","","region","northern territories","","","","import to northern territories","","blankets","","european",1,""
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","beads ball","","european",27,""
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","rods","brass|copper","european",390,""
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","cloth","","european",87,"pieces"
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","handkerchiefs","","european",3,"pieces"
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","castor oil","","european",6,"bottles"
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","scents","","european",12,"bottles"
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","soap","","european",180,""
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","pomade","","european",12,"bottles"
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","hair oil","","european",6,""
"praad","adm56/1/57","","month",1907,"2","","region","northern territories","","","","import to northern territories","","blankets","","european",101,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","beads ball","","european",1,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","cloth","","european",42,"pieces"
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","yarn","","european",10,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","thread sewing reels","","european",10,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","mirrors","","european",144,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","basins","","european",120,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","knives","","european",24,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","scents","","european",15,"bottles"
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","pomade","","european",43,"bottles"
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","soap","","european",3,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","sugar","","european",4,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","wool knitting","","european",3,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","pipes","","european",24,""
"praad","adm56/1/57","","month",1907,"3","","region","northern territories","","","","import to northern territories","","jewellery","","european",24,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","blue indigo","","european",1,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","cloth","","european",19,"pieces"
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","yarn","","european",105,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","handkerchiefs","","european",23,"pieces"
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","thread sewing reels","","european",56,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","mirrors","","european",216,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","tin pans","","european",80,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","pomade","","european",24,"bottles"
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","sugar","","european",56,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","pipes","","european",48,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","matches","","european",23,""
"praad","adm56/1/57","","month",1907,"4","","region","northern territories","","","","import to northern territories","","tobacco","","european",3,""
"praad","adm56/1/57","","month",1907,"5","","region","northern territories","","","","import to northern territories","","rods","brass|copper","european",50,""
"praad","adm56/1/57","","month",1907,"5","","region","northern territories","","","","import to northern territories","","cloth","","european",18,"pieces"
